# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field1,part (m;s),type / templates,divider / values,unit,comment [1],field2,part (m;s) [1],type / templates [1],divider / values [1],unit [1],comment [2],field3,part (m;s) [2],type / templates [2],divider / values [2],unit [2],comment [3],field4,part (m;s) [3],type / templates [3],divider / values [3],unit [3],comment [4],field5,part (m;s) [4],type / templates [4],divider / values [4],unit [4],comment [5],field6,part (m;s) [5],type / templates [5],divider / values [5],unit [5],comment [6],field7,part (m;s) [6],type / templates [6],divider / values [6],unit [6],comment [7]
r,MM1,RTS1,,,75,5022,081200,,,SIN,10,°C,Mischerkreis_1_Raumsolltemperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,ST1,,,75,5022,580800,,,SIN,10,°C,Mischerkreis_1_Spartemperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,TT1,,,75,5022,700500,,,SIN,10,°C,Mischerkreis_1_Tagtemperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,temp_75_4,,,75,5022,775b03,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,temp_75_5,,,75,5022,9d1401,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,temp_75_6,,,75,5022,e2f302,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,RT1,,,75,5022,ec1100,,,SIN,10,°C,Mischerkreis_1_Raumtemperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,temp_75_8,,,75,5022,cd0e01,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,temp_75_9,,,75,5022,4e8b02,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,temp_75_10,,,75,5022,251601,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MM1,temp_75_11,,,75,5022,791701,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
